Iteration 342 	 Th1: 102 Th2: 883
Iteration 343 	 Th1: 103 Th2: 883
Iteration 344 	 Th1: 103 Th2: 883
Iteration 345 	 Th1: 103 Th2: 883
Iteration 346 	 Th1: 103 Th2: 883
Iteration 347 	 Th1: 103 Th2: 883
Iteration 348 	 Th1: 103 Th2: 883
Iteration 349 	 Th1: 103 Th2: 883
Iteration 350 	 Th1: 104 Th2: 883
Iteration 351 	 Th1: 104 Th2: 883
Iteration 352 	 Th1: 104 Th2: 883
Iteration 353 	 Th1: 104 Th2: 883
Iteration 354 	 Th1: 104 Th2: 883
Iteration 355 	 Th1: 104 Th2: 883
Iteration 356 	 Th1: 104 Th2: 883
Iteration 357 	 Th1: 105 Th2: 883
Iteration 358 	 Th1: 106 Th2: 883
Iteration 359 	 Th1: 106 Th2: 883
Iteration 360 	 Th1: 108 Th2: 883
Iteration 361 	 Th1: 108 Th2: 883
Iteration 362 	 Th1: 108 Th2: 883
Iteration 363 	 Th1: 108 Th2: 883
Iteration 364 	 Th1: 108 Th2: 883
Iteration 365 	 Th1: 108 Th2: 883
Iteration 366 	 Th1: 108 Th2: 883
Iteration 367 	 Th1: 109 Th2: 883
Iteration 368 	 Th1: 109 Th2: 883
Iteration 369 	 Th1: 109 Th2: 883
Iteration 370 	 Th1: 109 Th2: 883
Iteration 371 	 Th1: 109 Th2: 883
Iteration 372 	 Th1: 109 Th2: 883
Iteration 373 	 Th1: 109 Th2: 883
Iteration 374 	 Th1: 109 Th2: 883
Iteration 375 	 Th1: 110 Th2: 883
Iteration 376 	 Th1: 110 Th2: 883
Iteration 377 	 Th1: 110 Th2: 883
Iteration 378 	 Th1: 110 Th2: 883
Iteration 379 	 Th1: 110 Th2: 883
Iteration 380 	 Th1: 111 Th2: 883
Iteration 381 	 Th1: 111 Th2: 883
Iteration 382 	 Th1: 111 Th2: 883
Iteration 383 	 Th1: 111 Th2: 883
Iteration 384 	 Th1: 111 Th2: 883
Iteration 385 	 Th1: 111 Th2: 883
Iteration 386 	 Th1: 111 Th2: 883
Iteration 387 	 Th1: 112 Th2: 883
Iteration 388 	 Th1: 113 Th2: 883
Iteration 389 	 Th1: 113 Th2: 883
Iteration 390 	 Th1: 115 Th2: 883
Iteration 391 	 Th1: 115 Th2: 883
Iteration 392 	 Th1: 116 Th2: 883
Iteration 393 	 Th1: 116 Th2: 883
Iteration 394 	 Th1: 116 Th2: 883
Iteration 395 	 Th1: 116 Th2: 883
Iteration 396 	 Th1: 116 Th2: 883
Iteration 397 	 Th1: 116 Th2: 883
Iteration 398 	 Th1: 116 Th2: 883
Iteration 399 	 Th1: 116 Th2: 883
Iteration 400 	 Th1: 117 Th2: 883
Iteration 401 	 Th1: 117 Th2: 883
Iteration 402 	 Th1: 117 Th2: 883
Iteration 403 	 Th1: 117 Th2: 883
Iteration 404 	 Th1: 117 Th2: 883
Iteration 405 	 Th1: 117 Th2: 883
Iteration 406 	 Th1: 117 Th2: 883
Iteration 407 	 Th1: 118 Th2: 883
Iteration 408 	 Th1: 118 Th2: 883
Iteration 409 	 Th1: 118 Th2: 883
Iteration 410 	 Th1: 118 Th2: 883
Iteration 411 	 Th1: 118 Th2: 883
Iteration 412 	 Th1: 118 Th2: 883
Iteration 413 	 Th1: 118 Th2: 883
Iteration 414 	 Th1: 118 Th2: 883
Iteration 415 	 Th1: 118 Th2: 883
Iteration 416 	 Th1: 118 Th2: 883
Iteration 417 	 Th1: 118 Th2: 883
Iteration 418 	 Th1: 118 Th2: 883
Iteration 419 	 Th1: 118 Th2: 883
Iteration 420 	 Th1: 119 Th2: 883
Iteration 421 	 Th1: 119 Th2: 883
Iteration 422 	 Th1: 121 Th2: 883
Iteration 423 	 Th1: 122 Th2: 883
Iteration 424 	 Th1: 122 Th2: 883
Iteration 425 	 Th1: 124 Th2: 883
Iteration 426 	 Th1: 124 Th2: 883
Iteration 427 	 Th1: 126 Th2: 883
Iteration 428 	 Th1: 127 Th2: 883
Iteration 429 	 Th1: 127 Th2: 883
Iteration 430 	 Th1: 129 Th2: 883
Iteration 431 	 Th1: 129 Th2: 883
Iteration 432 	 Th1: 129 Th2: 883
Iteration 433 	 Th1: 129 Th2: 883
Iteration 434 	 Th1: 129 Th2: 883
Iteration 435 	 Th1: 130 Th2: 883
Iteration 436 	 Th1: 130 Th2: 883
Iteration 437 	 Th1: 132 Th2: 883
Iteration 438 	 Th1: 132 Th2: 883
Iteration 439 	 Th1: 132 Th2: 883
Iteration 440 	 Th1: 132 Th2: 883
Iteration 441 	 Th1: 132 Th2: 883
Iteration 442 	 Th1: 132 Th2: 883
Iteration 443 	 Th1: 133 Th2: 883
Iteration 444 	 Th1: 133 Th2: 883
Iteration 445 	 Th1: 133 Th2: 883
Iteration 446 	 Th1: 133 Th2: 883
Iteration 447 	 Th1: 133 Th2: 883
Iteration 448 	 Th1: 133 Th2: 883
Iteration 449 	 Th1: 133 Th2: 883
Iteration 450 	 Th1: 133 Th2: 883
Iteration 451 	 Th1: 133 Th2: 883
Iteration 452 	 Th1: 134 Th2: 883
Iteration 453 	 Th1: 135 Th2: 883
Iteration 454 	 Th1: 135 Th2: 883
Iteration 455 	 Th1: 136 Th2: 883
Iteration 456 	 Th1: 136 Th2: 883
Iteration 457 	 Th1: 136 Th2: 883
Iteration 458 	 Th1: 136 Th2: 883
Iteration 459 	 Th1: 136 Th2: 883
Iteration 460 	 Th1: 137 Th2: 883
Iteration 461 	 Th1: 137 Th2: 883
Iteration 462 	 Th1: 137 Th2: 883
Iteration 463 	 Th1: 137 Th2: 883
Iteration 464 	 Th1: 137 Th2: 883
Iteration 465 	 Th1: 137 Th2: 883
Iteration 466 	 Th1: 137 Th2: 883
Iteration 467 	 Th1: 137 Th2: 883
Iteration 468 	 Th1: 137 Th2: 883
Iteration 469 	 Th1: 138 Th2: 883
Iteration 470 	 Th1: 140 Th2: 883
Iteration 471 	 Th1: 140 Th2: 883
Iteration 472 	 Th1: 140 Th2: 883
Iteration 473 	 Th1: 140 Th2: 883
Iteration 474 	 Th1: 140 Th2: 883
Iteration 475 	 Th1: 140 Th2: 883
Iteration 476 	 Th1: 140 Th2: 883
Iteration 477 	 Th1: 141 Th2: 883
Iteration 478 	 Th1: 141 Th2: 883
Iteration 479 	 Th1: 141 Th2: 883
Iteration 480 	 Th1: 141 Th2: 883
Iteration 481 	 Th1: 141 Th2: 883
Iteration 482 	 Th1: 141 Th2: 883
Iteration 483 	 Th1: 141 Th2: 883
Iteration 484 	 Th1: 141 Th2: 883
Iteration 485 	 Th1: 142 Th2: 883
Iteration 486 	 Th1: 142 Th2: 883
Iteration 487 	 Th1: 142 Th2: 883
Iteration 488 	 Th1: 142 Th2: 883
Iteration 489 	 Th1: 142 Th2: 883
Iteration 490 	 Th1: 143 Th2: 883
Iteration 491 	 Th1: 143 Th2: 883
Iteration 492 	 Th1: 145 Th2: 883
Iteration 493 	 Th1: 146 Th2: 883
Iteration 494 	 Th1: 146 Th2: 883
Iteration 495 	 Th1: 148 Th2: 883
Iteration 496 	 Th1: 148 Th2: 883
Iteration 497 	 Th1: 150 Th2: 883
Iteration 498 	 Th1: 151 Th2: 883
Iteration 499 	 Th1: 151 Th2: 883
Iteration 500 	 Th1: 153 Th2: 883
Iteration 501 	 Th1: 153 Th2: 883
Iteration 502 	 Th1: 155 Th2: 883
Iteration 503 	 Th1: 156 Th2: 883
Iteration 504 	 Th1: 156 Th2: 883
Iteration 505 	 Th1: 158 Th2: 883
Iteration 506 	 Th1: 158 Th2: 883
Iteration 507 	 Th1: 160 Th2: 883
Iteration 508 	 Th1: 161 Th2: 883
Iteration 509 	 Th1: 161 Th2: 883
Iteration 510 	 Th1: 163 Th2: 883
Iteration 511 	 Th1: 163 Th2: 883
Iteration 512 	 Th1: 164 Th2: 883
Iteration 513 	 Th1: 164 Th2: 883
Iteration 514 	 Th1: 165 Th2: 883
Iteration 515 	 Th1: 166 Th2: 883
Iteration 516 	 Th1: 166 Th2: 883
Iteration 517 	 Th1: 168 Th2: 883
Iteration 518 	 Th1: 168 Th2: 883
Iteration 519 	 Th1: 168 Th2: 883
Iteration 520 	 Th1: 169 Th2: 883
Iteration 521 	 Th1: 169 Th2: 883
Iteration 522 	 Th1: 170 Th2: 883
Iteration 523 	 Th1: 170 Th2: 883
Iteration 524 	 Th1: 170 Th2: 883
Iteration 525 	 Th1: 170 Th2: 883
Iteration 526 	 Th1: 170 Th2: 883
Iteration 527 	 Th1: 170 Th2: 883
Iteration 528 	 Th1: 170 Th2: 883
Iteration 529 	 Th1: 170 Th2: 883
Iteration 530 	 Th1: 170 Th2: 883
Iteration 531 	 Th1: 170 Th2: 883
Iteration 532 	 Th1: 171 Th2: 883
Iteration 533 	 Th1: 171 Th2: 883
Iteration 534 	 Th1: 171 Th2: 883
Iteration 535 	 Th1: 171 Th2: 883
Iteration 536 	 Th1: 171 Th2: 883
Iteration 537 	 Th1: 171 Th2: 883
Iteration 538 	 Th1: 171 Th2: 883
Iteration 539 	 Th1: 171 Th2: 883
Iteration 540 	 Th1: 171 Th2: 883
Iteration 541 	 Th1: 171 Th2: 883
Iteration 542 	 Th1: 171 Th2: 883
Iteration 543 	 Th1: 171 Th2: 883
Iteration 544 	 Th1: 171 Th2: 883
Iteration 545 	 Th1: 172 Th2: 883
Iteration 546 	 Th1: 172 Th2: 883
Iteration 547 	 Th1: 173 Th2: 883
Iteration 548 	 Th1: 174 Th2: 883
Iteration 549 	 Th1: 174 Th2: 883
Iteration 550 	 Th1: 175 Th2: 883
Iteration 551 	 Th1: 175 Th2: 883
Iteration 552 	 Th1: 176 Th2: 883
Iteration 553 	 Th1: 176 Th2: 883
